Yıl,İl Kodu,İl Adı,Genel toplam,Genel toplam,Genel toplam,Okuma yazma bilmeyen,Okuma yazma bilmeyen,Okuma yazma bilmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,İlkokul,İlkokul,İlkokul,İlköğretim,İlköğretim,İlköğretim,Ortaokul ve dengi meslek,Ortaokul ve dengi meslek,Ortaokul ve dengi meslek,Lise ve dengi meslek,Lise ve dengi meslek,Lise ve dengi meslek,Yüksekokul veya fakülte,Yüksekokul veya fakülte,Yüksekokul veya fakülte,Yüksek lisans,Yüksek lisans,Yüksek lisans,Doktora,Doktora,Doktora,Bilinmeyen,Bilinmeyen,Bilinmeyen
,,,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın,Toplam,Erkek,Kadın
2009,8,  Artvin,153491,76976,76515,10253,1765,8488,26175,12236,13939,48910,21885,27025,15731,8053,7678,7887,5533,2354,27949,17820,10129,8838,5772,3066,305,191,114,77,51,26,7366,3670,3696
2009,9,  Aydın,898510,448524,449986,65343,12630,52713,157485,76295,81190,323069,163348,159721,95129,49976,45153,32682,20651,12031,125855,68169,57686,59734,34488,25246,2098,1239,859,823,524,299,36292,21204,15088
2009,10,  Balıkesir,1060593,529973,530620,65820,15151,50669,169829,83673,86156,391166,180115,211051,104724,55663,49061,48286,30731,17555,164110,95246,68864,73101,44373,28728,3122,1958,1164,838,576,262,39597,22487,17110
2009,11,  Bilecik,186200,97786,88414,7075,1413,5662,28471,14095,14376,68218,29575,38643,19855,11465,8390,8728,6029,2699,35787,22966,12821,11200,7404,3796,412,265,147,87,65,22,6367,4509,1858
2009,12,  Bingöl,224238,114377,109861,35330,7995,27335,65109,31556,33553,41261,22271,18990,31338,17777,13561,4993,3668,1325,26822,19258,7564,6955,5184,1771,292,231,61,48,43,5,12090,6394,5696
2009,13,  Bitlis,277646,143235,134411,43016,9760,33256,99106,48382,50724,42501,24318,18183,37437,22719,14718,5769,4402,1367,27665,20869,6796,8168,5778,2390,326,234,92,60,44,16,13598,6729,6869
2009,14,  Bolu,250740,124556,126184,14394,2700,11694,41980,19589,22391,88521,39720,48801,25066,13169,11897,9555,6769,2786,45683,27635,18048,17467,10447,7020,688,419,269,403,257,146,6983,3851,3132
2009,15,  Burdur,232765,116206,116559,14447,2241,12206,37037,17339,19698,91522,43532,47990,24366,13287,11079,9647,6692,2955,34072,20001,14071,15139,9382,5757,412,281,131,196,133,63,5927,3318,2609
2009,16,  Bursa,2306692,1148807,1157885,106774,19513,87261,406473,196277,210196,740417,339779,400638,251923,128737,123186,137267,83187,54080,406472,233737,172735,160112,93843,66269,7899,4820,3079,2371,1534,837,86984,47380,39604
2009,17,  Çanakkale,446145,227573,218572,23314,6102,17212,66172,32882,33290,176247,81009,95238,42667,24311,18356,17253,11545,5708,71923,42965,28958,32508,19277,13231,1637,981,656,671,460,211,13753,8041,5712
